channels_name;country;city;watch_count
"Sanyuka TV";CI;Abidjan;17
"Busoga One FM";UG;Kampala;17
"Power FM";UG;Kampala;17
"Next Radio Arua";ZA;;17
"Sun TV";UG;Kampala;17
"NBS TV";US;"St Louis";17
"CBS Eyobujjajja";US;"St Louis";17
"UBC TV";DK;Kolding;16
"RT International";KE;Nairobi;16
"Al Jazeera English";SS;Juba;16
"NBS Live";GB;Brent;16
"NBS Live";DE;Weißenfels;16
"Sanyuka TV";BE;Ghent;16
"NBS TV";CA;Cornwall;16
"NBS TV";LR;Monrovia;16
"NBS Live";GB;Manchester;16
"Sanyuka TV";IL;;16
"NBS TV";DK;Horsens;16
"NBS TV";GB;"Milton Keynes";16
"NBS Live";US;Sudbury;16
"NBS TV";GB;Newham;16
"UBC TV";GB;London;16
"NBS TV";NO;;16
DW;FR;;16
"Sanyuka TV";FR;Lauterbourg;16
"Bukedde 1";CA;Montreal;16
"NBS Live";GB;Bexley;16
"NBS Sport 2";BH;Manama;16
"UBC TV";US;;15
"NBS TV";US;Bedford;15
"Sanyuka TV";NL;Groningen;15
"NBS Live";BD;;15
"Al Jazeera English";TZ;"Dar es Salaam";15
"NBS Sport";RW;;15
"NBS Live";IT;;15
"NBS TV";US;"New York";15
"UBC TV";GB;;15
"NBS Plus";QA;Doha;15
"NBS TV";GB;Walthamstow;15
"Sanyuka TV";TH;Bangkok;15
"NBS Live";BE;;15
"UBC TV";EG;Cairo;15
"NBS Live";DE;Hanover;15
"UBC TV";US;Danville;15
"NBS TV";GB;Bradford;15
"Sanyuka TV";US;Ashburn;15
"NBS TV";GA;Libreville;15
"Church Radio";UG;Kampala;15
"Manifest Television";DE;"Limburg an der Lahn";15
"Bukedde 1";US;;15
"Host TV";FR;;15
"NBS Live";CA;Toronto;14
"Galaxy TV";UG;;14
"Al Jazeera English";KW;"Kuwait City";14
"NBS TV";DE;Greiz;14
"NBS TV";CD;Bukavu;14
"UBC TV";US;Norman;14
"NBS TV";GB;Brent;14
"UBC TV";KE;;14
"NBS TV";TZ;Arusha;14
"NBS Sport 2";UG;;14
"NBS Plus";SS;;14
"Next Radio 106.1";ZA;Johannesburg;14
"Al Jazeera English";GB;London;14
"NBS Live";NL;Naaldwijk;14
"NBS TV";US;Tucson;14
"UBC TV";SO;;14
"NBS Plus";FR;Paris;14
"NBS Live";SG;Singapore;14
"Sanyuka TV";US;Orlando;14
"Sanyuka TV";CI;;14
"NBS Plus";UG;Mityana;14
"Next Radio Arua";UG;Kampala;14
"NBS TV";UG;Mbarara;14
"Sanyuka TV";UG;Mityana;14
"Manifest Television";AE;Dubai;14
"KTBMI TV";UG;Kampala;14
"92.1 OP FM";UG;Kampala;14
"JUBA ECHO TV";UG;Kampala;14
"NBS TV";GB;Belfast;14
"NBS TV";GB;Harlow;13
"NBS Plus";TZ;"Dar es Salaam";13
"UBC TV";TR;Istanbul;13
"NBS TV";NL;Groningen;13
"NBS TV";US;Denver;13
"UBC TV";US;Orlando;13
"Galaxy TV";AE;Sharjah;13
"NBS TV";US;Columbus;13
"UBC TV";SO;Merca;13
"UBC TV";GB;Hackney;13
"Host TV";AE;Dubai;13
"Al Jazeera English";NG;"Port Harcourt";13
AfroFlix;US;;13
"NBS TV";GB;Manchester;13
"NBS TV";US;Irving;13
"Sanyuka TV";AE;"Ras al-Khaimah";13
"NBS Live";CD;;13
"NBS Live";GB;Bristol;13
"NBS Live";EG;Cairo;13
"NBS TV";GB;Wandsworth;13
"NBS TV";GB;Dagenham;13
"NBS Plus";ZA;;13
"Bukedde 1";CA;Toronto;13
"Radio Walla";FR;;13
"NBS TV";RS;Belgrade;13
"Radio Walla";DE;"Frankfurt am Main";13
"Kazo FM";UG;Kampala;13
"NBS Plus";FI;Helsinki;13
"Bukedde 1";DE;Leverkusen;13
"NBS TV";RO;Bucharest;13
"UBC TV";FR;Lauterbourg;12
"BaBa TV";ZA;Johannesburg;12
"Sanyuka TV";AE;"Al Ain City";12
"Sanyuka TV";CH;Zurich;12
"NBS TV";GB;Edgware;12
"NBS TV";CA;"North York";12
"NBS TV";SO;Mogadishu;12
"UBC TV";SA;Jeddah;12
"NBS TV";DE;Hamburg;12
DW;AE;Dubai;12
"BaBa TV";AE;"Abu Dhabi";12
"NBS Live";US;Revere;12
"Sanyuka TV";BW;Gaborone;12
"NBS Live";KE;"Athi River";12
"NBS Live";IN;Rajkot;12
"Sanyuka TV";BH;Manama;12
"NBS Live";US;Ashburn;12
"NBS Live";US;Columbus;12
"NBS TV";FI;Lappeenranta;12
"BaBa TV";FR;;12
"NBS TV";GB;Bromley;12
"Sanyuka TV";ES;Madrid;12
"NBS Live";ID;Tangerang;12
"NBS TV";TN;Tunis;12
"NBS TV";AU;Adelaide;12
"NBS Plus";UG;Masaka;12
"Bukedde 1";AE;Sharjah;12
"NBS TV";GB;Uxbridge;12
Sharjah;UG;Kampala;12
"Baba FM";FR;;12
"NBS Plus";US;"St Louis";12
"NBS Plus";SS;Juba;11
"NBS TV";IL;"Tel Aviv";11
"NBS TV";PL;Warsaw;11
"NBS Music";AE;"Abu Dhabi";11
"UBC TV";CA;Ottawa;11
"RT International";AE;"Abu Dhabi";11
"Sanyuka TV";SS;Juba;11
"NBS TV";DZ;Algiers;11
"NBS TV";GB;Pontefract;11
"NBS TV";US;Seattle;11
"UBC TV";NL;Amsterdam;11
"NBS TV";US;Lawrence;11
"Sanyuka TV";GB;Pontypridd;11
"NBS TV";US;Revere;11
"NBS TV";BE;;11
"NBS TV";GB;Leeds;11
"NBS TV";LR;;11
"NUP Radio 91.4";FR;Lauterbourg;11
"NBS Live";GB;Bracknell;11
"NBS Live";SA;Ta'if;11
"Al Jazeera English";GB;;11
"NBS Live";DK;Nørager;11
"NBS TV";DE;Wilhelmshaven;11
"NBS TV";CA;Etobicoke;11
"NBS Plus";RW;Kigali;11
"Kwiso TV";UG;;11
"NBS Live";GB;Norwich;11
"Manifest Television";DE;"Frankfurt am Main";11
"NBS TV";GB;"High Wycombe";11
"NBS TV";US;Kissimmee;11
"Sanyuka TV";GB;Nottingham;11
"NBS TV";TH;"Hua Hin";11
"NBS Sport";AE;Sharjah;11
"NBS Plus";NL;Amsterdam;11
"Next Radio 106.1";CH;Zurich;11
"NBS Plus";DE;"Limburg an der Lahn";11
"Bukedde 1";SA;Jeddah;11
"RX Radio";UG;Kampala;11
"NBS Live";UG;Mityana;11
